Model,MAE,RMSE,R2,Median_APE_Pct,MAE_Defender,MAE_Forward,MAE_Midfielder,MAE_Goalkeeper,MAE_Other
Baseline_Ridge_PerfOnly,3561425.006510471,66755647.79144472,-65.250962066373,71.72756506419206,2013084.6159910439,5216470.005584737,4640536.376254082,966340.0878905845,146221.81828165037
RF_PerfOnly,1987772.5006510168,6238217.567711935,0.4214549330937549,71.81021535588332,1937948.6014042583,2152530.7714218358,2241396.121149102,939192.552230595,166714.25702540678
XGB_PerfOnly (Model A),1913695.9801715252,6109169.38644492,0.44514373558456033,67.70848828124998,1870075.9710966332,2080038.414407066,2167135.304713585,839290.3600508902,143637.42187499994
XGB_MarketAware (Model B),461216.6724805119,1691540.453956234,0.9574616209105098,15.962285714285645,431839.85655918473,576307.7346562779,485875.3770843657,165597.9950003976,105323.58007812494
