player_id,Player Name,feature,feature_readable,feature_value,shap_contribution_log_value,direction
982081,Oluwaseun Adewumi,goals_per_90_ls,goals per 90,0.2344971339239187,0.11075707,pushes higher
982081,Oluwaseun Adewumi,foot_unknown,foot: unknown,0.0,0.037838288,pushes higher
982081,Oluwaseun Adewumi,pos_Goalkeeper,position: goalkeeper,0.0,0.033834457,pushes higher
631904,Anselmo García MacNulty,minutes_last_season,minutes played,3042.0,2.3633924,pushes higher
631904,Anselmo García MacNulty,age_at_valuation,age,22.784394250513348,0.4735504,pushes higher
631904,Anselmo García MacNulty,assists_per_90_ls,assists per 90,0.0,-0.08364872,pushes lower
631904,Anselmo García MacNulty,goals_per_90_ls,goals per 90,0.029585798816568,-0.047108117,pushes lower
631904,Anselmo García MacNulty,pos_Goalkeeper,position: goalkeeper,0.0,0.035907235,pushes higher
631904,Anselmo García MacNulty,foot_unknown,foot: unknown,0.0,0.026081137,pushes higher
938388,Panagiotis Tsantilas,minutes_last_season,minutes played,1392.0,1.0448987,pushes higher
938388,Panagiotis Tsantilas,goals_per_90_ls,goals per 90,0.3879310344827586,0.3374825,pushes higher
938388,Panagiotis Tsantilas,age_at_valuation,age,22.012320328542096,0.30547822,pushes higher
938388,Panagiotis Tsantilas,assists_per_90_ls,assists per 90,0.0,-0.122497655,pushes lower
938388,Panagiotis Tsantilas,pos_Goalkeeper,position: goalkeeper,0.0,0.044929925,pushes higher
938388,Panagiotis Tsantilas,cards_per_90_ls,cards per 90,0.1939655172413793,0.035854466,pushes higher
461939,Tomás Silva,minutes_last_season,minutes played,2805.0,1.8375349,pushes higher
461939,Tomás Silva,age_at_valuation,age,24.643394934976044,0.26857215,pushes higher
461939,Tomás Silva,goals_per_90_ls,goals per 90,0.0,-0.16676106,pushes lower
461939,Tomás Silva,pos_Forward,position: forward,1.0,-0.0783584,pushes lower
461939,Tomás Silva,assists_per_90_ls,assists per 90,0.0641711229946524,-0.04507365,pushes lower
461939,Tomás Silva,pos_Goalkeeper,position: goalkeeper,0.0,0.033601977,pushes higher
729781,Vladyslav Veleten,minutes_last_season,minutes played,1891.0,1.4097121,pushes higher
729781,Vladyslav Veleten,assists_per_90_ls,assists per 90,0.3807509254362771,0.36246526,pushes higher
729781,Vladyslav Veleten,age_at_valuation,age,23.21423682409309,0.28961003,pushes higher
729781,Vladyslav Veleten,goals_per_90_ls,goals per 90,0.2855631940772078,0.22312322,pushes higher
729781,Vladyslav Veleten,pos_Goalkeeper,position: goalkeeper,0.0,0.03951017,pushes higher
729781,Vladyslav Veleten,foot_unknown,foot: unknown,0.0,0.034910686,pushes higher
589374,Milson,minutes_last_season,minutes played,1665.0,1.3537312,pushes higher
589374,Milson,assists_per_90_ls,assists per 90,0.2702702702702703,0.35198054,pushes higher
589374,Milson,age_at_valuation,age,23.65503080082136,0.31438825,pushes higher
589374,Milson,goals_per_90_ls,goals per 90,0.3783783783783784,0.2579041,pushes higher
589374,Milson,cards_per_90_ls,cards per 90,0.3783783783783784,-0.06964049,pushes lower
589374,Milson,pos_Goalkeeper,position: goalkeeper,0.0,0.04388234,pushes higher
891835,Nick Verschuren,minutes_last_season,minutes played,2445.0,1.8693578,pushes higher
891835,Nick Verschuren,age_at_valuation,age,21.155373032169745,0.37500745,pushes higher
891835,Nick Verschuren,goals_per_90_ls,goals per 90,0.0,-0.08306135,pushes lower
891835,Nick Verschuren,pos_Goalkeeper,position: goalkeeper,0.0,0.032212716,pushes higher
891835,Nick Verschuren,foot_unknown,foot: unknown,0.0,0.032071665,pushes higher
891835,Nick Verschuren,assists_per_90_ls,assists per 90,0.0368098159509202,-0.028869322,pushes lower
470606,Leighton Clarkson,minutes_last_season,minutes played,2718.0,2.0704856,pushes higher
470606,Leighton Clarkson,age_at_valuation,age,22.611909650924023,0.2711207,pushes higher
470606,Leighton Clarkson,goals_per_90_ls,goals per 90,0.0662251655629139,-0.109701805,pushes lower
470606,Leighton Clarkson,cards_per_90_ls,cards per 90,0.0662251655629139,-0.069002174,pushes lower
470606,Leighton Clarkson,pos_Midfielder,position: midfielder,1.0,0.061729055,pushes higher
470606,Leighton Clarkson,pos_Goalkeeper,position: goalkeeper,0.0,0.039213225,pushes higher
647281,Dylan Tait,minutes_last_season,minutes played,2291.0,1.3225514,pushes higher
647281,Dylan Tait,age_at_valuation,age,24.257357973990416,0.34730718,pushes higher
647281,Dylan Tait,assists_per_90_ls,assists per 90,0.0,-0.13896441,pushes lower
647281,Dylan Tait,cards_per_90_ls,cards per 90,0.3142732431252727,-0.08994688,pushes lower
647281,Dylan Tait,goals_per_90_ls,goals per 90,0.1178524661719773,0.05958604,pushes higher
647281,Dylan Tait,pos_Goalkeeper,position: goalkeeper,0.0,0.047647204,pushes higher
